filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates_1 (54).pdf,KUVENDI I KOMUNES SE PRISHTINES,Dekorimi i qytetit për festa të fundvitit,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"54.980,00"
b08_njoftim_per_dhenje_te_kontrates (707).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me materiale pedagogjike me standarde te reja unifikuese lot 1 dhe lot 2,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"14,674.50"
b08_njoftim_per_dhenje_te_kontrates_1 (144).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnzim me rekuizita sportive,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (592).pdf,KUVENDI I KOMUNES SE PRISHTINES,Instalimi dhe mirëmbajtja e elektrikës në Institucionet Arsimore,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,138.78
b08_njoftim_per_dhenje_te_kontrates (438).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"62 649,48"
106_ndertimi_i_rruges_lidhese_sofali-kolovice_-_abedin_dino_faza_ii_-_pune_shtese_te_pa-parapara_23.06.2025.pdf,KUVENDI I KOMUNES SE PRISHTINES,106 Ndërtimi i rrugës lidhëse Sofali-Kolovicë - Abedin Dino faza II - Pune shtese të pa-parapara,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"249,000.00"
b08_njoftim_per_dhenje_te_kontrates (654).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i parkut linear ne lagjen e Spitalit- pune shtese,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"21,498.20"
b08_njoftim_per_dhenje_te_kontrates (204).pdf,KUVENDI I KOMUNES SE PRISHTINES,Instalimi dhe mirmbajtja e elektrikës në Institucionet Arsimore,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates_1 (328).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"138,441.00"
b08_njoftim_per_dhenje_te_kontrates_1 (282).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Ndërtimi i rrugëve në Tasligje (rr. Rexhep Shema, rr. Naser Hajrizi, rr. Abdyl Ramaj, rr. Ukë Sadiku,",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"23,715.80"
